VPVS_RATIO,P_IMPEDANCE,PHI
1.8369,11359045.0,0.0655
1.7927,11454639.0,0.0648
1.7835,11524032.0,0.0688
1.7711,11676914.0,0.0741
1.768,11715344.0,0.0754
1.774,11835815.0,0.0809
1.7843,12114029.0,0.09
1.7851,12151765.0,0.0924
1.7859,12189525.0,0.0948
1.7885,12354965.0,0.1027
1.7945,12359082.0,0.1079
1.7965,12362916.0,0.1096
1.8044,12378380.0,0.1164
1.7997,12303311.0,0.1164
1.7943,12209216.0,0.1166
1.7919999999999998,12169769.0,0.1166
1.7935,12238233.0,0.1094
1.7959,12303883.0,0.0975
1.7965,12360552.0,0.0944
1.7977,12474717.0,0.0883
1.801,12722023.0,0.0732
1.8067,12946323.0,0.0693
1.8076,12982735.0,0.0687
1.8166,13329125.0,0.063
1.8188,13422853.0,0.0643
1.821,13531999.0,0.0655
1.8224,13605830.0,0.0663
1.8245,13677203.0,0.0701
1.8279,13825780.0,0.0765
1.8237,13784021.0,0.0772
1.8035,13581092.0,0.0809
1.7654,13222721.0,0.0882
1.7568,13139084.0,0.0916
1.7568,13138633.0,0.0916
1.743,13029219.0,0.0974
1.7431,13025096.0,0.099
1.7432,13024242.0,0.1003
1.7433,13023412.0,0.1017
1.7353,12907790.0,0.1019
1.7225,12717122.0,0.1022
1.7226,12717256.0,0.1022
1.7418,12817851.0,0.1022
1.7738,12949423.0,0.1022
1.7745,12958219.0,0.1026
1.7745,12958211.0,0.1026
1.7746,12960040.0,0.1026
1.7759,12922669.0,0.1033
1.7865,12930298.0,0.1035
1.7935,12918591.0,0.1036
1.8041,12900836.0,0.1038
1.8056,12829322.0,0.1021
1.8078,12725721.0,0.0996
1.808,12714180.0,0.0993
1.8024,12546705.0,0.0973
1.7933,12308471.0,0.094
1.7959,12278048.0,0.0943
1.7972,12262474.0,0.0944
1.8034,12212778.0,0.0951
1.8039,12224543.0,0.0988
1.8041,12235788.0,0.1006
1.8047,12262534.0,0.105
1.7976,12258166.0,0.1092
1.7884,12258394.0,0.1148
1.786,12258443.0,0.1163
1.7662,12213528.0,0.1164
1.7339,12122122.0,0.1168
1.7380000000000002,12083246.0,0.1141
1.7421,12043765.0,0.1114
1.7553,11891972.0,0.1026
1.7619,11808437.0,0.0964
1.764,11780421.0,0.0944
1.7725,11665815.0,0.0862
1.774,11537701.0,0.0833
1.7756,11405121.0,0.08
1.7763,11348349.0,0.0785
1.7675,11239816.0,0.0816
1.7533,11099867.0,0.0866
1.7472,11097112.0,0.0883
1.7348,11091423.0,0.0918
1.7045,11085460.0,0.1003
1.7129,11350585.0,0.1033
1.7143,11390645.0,0.1038
1.7277,11793139.0,0.1082
1.7349,12013672.0,0.111
1.7422,12218843.0,0.1137
1.7473,12362383.0,0.1155
1.7548,12462326.0,0.1174
1.7673,12625322.0,0.1206
1.7667,12620971.0,0.1205
1.7638,12598122.0,0.12
1.7579,12565211.0,0.1192
1.7690000000000001,12632264.0,0.1161
1.7691,12633125.0,0.1161
1.7879,12759786.0,0.1111
1.7917,12773700.0,0.1082
1.7949,12798687.0,0.106
1.7982,12824276.0,0.1036
1.8034,12852565.0,0.1031
1.8119999999999998,12929858.0,0.1021
1.8119999999999998,12930102.0,0.1021
1.8124,12926094.0,0.1038
1.8130000000000002,12931175.0,0.1065
1.8089,12915340.0,0.1075
1.808,12911868.0,0.1077
1.8,12841438.0,0.1098
1.7948,12850476.0,0.1085
1.7914,12835471.0,0.1076
1.7862,12812347.0,0.1063
1.7896,12857021.0,0.1035
1.7946,12909778.0,0.0993
1.7952,12916032.0,0.0988
1.8030000000000002,12959698.0,0.095
1.8159999999999998,13075604.0,0.0887
1.8144,13070553.0,0.0856
1.8136,13067878.0,0.084
1.8097,13103842.0,0.0761
1.8096,13136098.0,0.0719
1.8095,13153137.0,0.0699
1.8093,13194391.0,0.065
1.8108,13204766.0,0.0649
1.8127,13189843.0,0.0648
1.8132,13185984.0,0.0647
1.8142,13249676.0,0.0684
1.8157,13319185.0,0.0745
1.8094,13397596.0,0.0766
1.8026,13481108.0,0.0788
1.7803,13742458.0,0.0857
1.7756,13846775.0,0.0904
1.7741,13883739.0,0.0919
1.7675,14042983.0,0.0982
1.7872,14034364.0,0.1042
1.8097,14046856.0,0.111
1.8197,14052427.0,0.1141
1.8145,13912107.0,0.1193
1.8063,13705889.0,0.1278
1.8061,13644264.0,0.1286
1.8056,13515766.0,0.1303
1.8045,13212320.0,0.1344
1.8008,13101943.0,0.1356
1.8003,13086880.0,0.1358
1.795,12935747.0,0.1376
1.7972,12761667.0,0.1374
1.7994,12607033.0,0.1372
1.8008,12502880.0,0.1371
1.7663,12269340.0,0.1345
1.7126,11891052.0,0.1303
1.7105,11870502.0,0.1298
1.6993,11759086.0,0.1272
1.6782,11487415.0,0.122
1.6796,11427423.0,0.11900000000000001
1.6796,11426215.0,0.11900000000000001
1.682,11270075.0,0.1139
1.6858,11238306.0,0.1086
1.6888,11213147.0,0.1044
1.692,11186916.0,0.0999
1.7028,11208765.0,0.094
1.7206,11266297.0,0.0843
1.7208,11266781.0,0.0843
1.7227,11265018.0,0.0802
1.726,11245049.0,0.0736
1.7145,11332514.0,0.0751
1.7118,11352800.0,0.0754
1.6876,11526687.0,0.0784
1.6907,11723567.0,0.084
1.6928,11875934.0,0.0876
1.6962,12124325.0,0.0932
1.7067,12303135.0,0.0942
1.7228,12670331.0,0.0957
1.7248,12716445.0,0.0959
1.7291,12831960.0,0.0938
1.7362,13066509.0,0.0904
1.7415,13120585.0,0.0889
1.7443,13150082.0,0.0881
1.7578,13263497.0,0.0843
1.7613,13320108.0,0.0827
